player,total_pressures,matches,est_minutes,pressures_p90
Daizen Maeda,81,3,270,27.0
Gonzalo Jordy Plata Jiménez,72,3,270,24.0
Idrissa Gana Gueye,67,3,270,22.33
Jae-Sung Lee,63,3,270,21.0
Mehdi Taremi,63,3,270,21.0
Antoine Griezmann,125,6,540,20.83
Tyler Adams,81,4,360,20.25
Kieffer Roberto Francisco Moore,59,3,270,19.67
Hakim Ziyech,137,7,630,19.57
Mateo Kovačić,136,7,630,19.43
André-Frank Zambo Anguissa,57,3,270,19.0
Hidemasa Morita,56,3,270,18.67
Jesús Daniel Gallardo Vasconcelos,56,3,270,18.67
Daichi Kamada,74,4,360,18.5
Yunus Dimoara Musah,73,4,360,18.25
Jurriën David Norman Timber,73,4,360,18.25
Aaron Ramsey,54,3,270,18.0
Ellyes Joris Skhiri,53,3,270,17.67
Sofyan Amrabat,123,7,630,17.57
Wataru Endo,70,4,360,17.5
Saleh Khalid Al Shehri,51,3,270,17.0
Jackson Irvine,68,4,360,17.0
Randal Kolo Muani,51,3,270,17.0
Thomas Müller,51,3,270,17.0
Milad Mohammadi,51,3,270,17.0
Mathew Leckie,68,4,360,17.0
Julián Álvarez,118,7,630,16.86
Mohammed Kudus,50,3,270,16.67
Hassan Khalid Al Heidos,50,3,270,16.67
Daley Blind,83,5,450,16.6
Luka Modrić,115,7,630,16.43
Youssef En-Nesyri,113,7,630,16.14
Frenkie de Jong,80,5,450,16.0
Marcelo Brozović,96,6,540,16.0
Hirving Rodrigo Lozano Bahena,48,3,270,16.0
Alphonso Davies,48,3,270,16.0
Rodrigo Javier De Paul,111,7,630,15.86
Bruno Miguel Borges Fernandes,62,4,360,15.5
Enzo Fernandez,107,7,630,15.29
Otávio Edmilson da Silva Monteiro,45,3,270,15.0
Remo Freuler,60,4,360,15.0
Mathías Olivera Miramontes,45,3,270,15.0
Selim Amallah,104,7,630,14.86
Achraf Hakimi Mouh,104,7,630,14.86
Mitchell Thomas Duke,59,4,360,14.75
Lucas Tolentino Coelho de Lima,59,4,360,14.75
Richarlison de Andrade,59,4,360,14.75
Salis Abdul Samed,44,3,270,14.67
Joel Nathaniel Campbell Samuels,44,3,270,14.67
Gue-Sung Cho,58,4,360,14.5
Tajon Buchanan,43,3,270,14.33
Axel Witsel,43,3,270,14.33
David Raum,43,3,270,14.33
Saša Lukić,43,3,270,14.33
Moisés Isaac Caicedo Corozo,43,3,270,14.33
Pablo Martín Páez Gavira,57,4,360,14.25
Krépin Diatta,42,3,270,14.0
Adrien Rabiot,84,6,540,14.0
Jude Bellingham,70,5,450,14.0
Ivan Perišić,98,7,630,14.0
Almoez Ali Zainalabiddin Abdulla,42,3,270,14.0
Salem Mohammed Al Dawsari,42,3,270,14.0
Denzel Dumfries,69,5,450,13.8
Matías Vecino Falero,41,3,270,13.67
Rodrigo Bentancur Colmán,41,3,270,13.67
Carlos Henrique Casimiro,54,4,360,13.5
Pedro González López,54,4,360,13.5
Federico Santiago Valverde Dipetta,40,3,270,13.33
Keysher Fuller Spence,40,3,270,13.33
Luis Gerardo Chávez Magallón,40,3,270,13.33
Jamal Musiala,40,3,270,13.33
Thomas Teye Partey,40,3,270,13.33
Angelo Smit Preciado Quiñónez,40,3,270,13.33
Sofiane Boufal,93,7,630,13.29
Jewison Bennette,39,3,270,13.0
Azzedine Ounahi,91,7,630,13.0
Yeltsin Ignacio Tejeda Valverde,39,3,270,13.0
Ousmane Dembélé,90,7,630,12.86
Joško Gvardiol,77,6,540,12.83
In-Beom Hwang,51,4,360,12.75
Riley McGree,51,4,360,12.75
Antonee Robinson,51,4,360,12.75
Ismaïla Sarr,51,4,360,12.75
Lionel Andrés Messi Cuccittini,89,7,630,12.71
Saud Abdullah Abdul Hamid,38,3,270,12.67
Ao Tanaka,38,3,270,12.67
Alistair Johnston,38,3,270,12.67
Nouhou Tolo,38,3,270,12.67
Saeid Ezatolahi Afagh,38,3,270,12.67
Éder Gabriel Militão,50,4,360,12.5
Silvan Widmer,37,3,270,12.33
Ahmad Nourollahi,37,3,270,12.33
Issam Jebali,37,3,270,12.33
Jesper Lindstrøm,37,3,270,12.33
Enner Remberto Valencia Lastra,37,3,270,12.33
Grzegorz Krychowiak,49,4,360,12.25
Bukayo Saka,49,4,360,12.25
Ehsan Hajsafi,36,3,270,12.0
