team,Drawing,Losing,Winning,losing_vs_winning
South Korea,62.0,87.0,6.0,14.5
Cameroon,93.7,48.5,12.5,3.88
Costa Rica,60.7,111.0,31.0,3.58
Serbia,71.3,38.3,15.5,2.47
Australia,45.0,110.0,49.7,2.21
Tunisia,75.3,91.0,44.0,2.07
Japan,90.8,67.7,42.0,1.61
Canada,21.7,86.7,55.0,1.58
Saudi Arabia,50.3,62.7,54.0,1.16
Morocco,87.4,98.5,92.0,1.07
United States,68.2,88.0,88.0,1.0
Poland,68.2,62.5,65.0,0.96
England,49.8,55.0,60.3,0.91
Netherlands,65.0,73.0,83.0,0.88
Ghana,60.0,70.0,92.0,0.76
France,55.7,49.0,73.6,0.67
Mexico,97.3,36.0,54.0,0.67
Switzerland,56.2,35.7,56.0,0.64
Spain,65.0,32.0,51.0,0.63
Argentina,56.7,47.0,76.6,0.61
Senegal,70.5,40.5,74.5,0.54
Ecuador,52.7,67.0,125.0,0.54
Uruguay,73.7,50.0,103.0,0.49
Croatia,90.7,38.0,81.0,0.47
Portugal,52.8,22.5,55.2,0.41
Belgium,83.7,17.0,41.0,0.41
Germany,59.0,12.5,91.0,0.14
Brazil,88.8,3.0,39.5,0.08
Denmark,95.3,25.0,0.0,
Iran,93.3,86.0,0.0,
Qatar,40.0,85.0,0.0,
Wales,81.0,37.0,0.0,
