team,total_pressures,matches_played,pressures_p90
Japan,692,4,173.0
Morocco,1085,7,155.0
Iran,452,3,150.7
Netherlands,730,5,146.0
Costa Rica,435,3,145.0
Argentina,980,7,140.0
Ecuador,417,3,139.0
Ghana,412,3,137.3
Australia,549,4,137.2
Croatia,949,7,135.6
Cameroon,403,3,134.3
United States,537,4,134.2
Saudi Arabia,393,3,131.0
France,905,7,129.3
South Korea,515,4,128.8
Senegal,512,4,128.0
Germany,384,3,128.0
Mexico,382,3,127.3
Canada,380,3,126.7
Qatar,375,3,125.0
Uruguay,374,3,124.7
Brazil,605,5,121.0
Tunisia,361,3,120.3
Serbia,360,3,120.0
Wales,354,3,118.0
Poland,463,4,115.8
Denmark,336,3,112.0
Spain,445,4,111.2
Switzerland,444,4,111.0
Portugal,530,5,106.0
Belgium,309,3,103.0
England,485,5,97.0
