player,shots_taken,xg,goals,xg_per_shot,xg_diff
Lionel Andrés Messi Cuccittini,34,7.6,9,0.224,1.4
Kylian Mbappé Lottin,32,5.02,9,0.157,3.98
Robert Lewandowski,12,3.13,2,0.261,-1.13
Olivier Giroud,17,3.04,4,0.179,0.96
Lautaro Javier Martínez,15,2.91,1,0.194,-1.91
Breel-Donald Embolo,6,2.39,2,0.398,-0.39
Harry Kane,12,2.33,2,0.194,-0.33
Nikola Vlašić,7,2.2,2,0.314,-0.2
Neymar da Silva Santos Junior,12,2.13,2,0.178,-0.13
Randal Kolo Muani,5,2.05,2,0.41,-0.05
Cristiano Ronaldo dos Santos Aveiro,11,1.94,1,0.176,-0.94
Enner Remberto Valencia Lastra,9,1.92,3,0.213,1.08
Julián Álvarez,11,1.91,4,0.174,2.09
Ismaïla Sarr,10,1.85,1,0.185,-0.85
Marko Livaja,7,1.77,1,0.253,-0.77
Niclas Füllkrug,8,1.69,2,0.211,0.31
Romelu Lukaku Menama,5,1.68,0,0.336,-1.68
Gonçalo Matias Ramos,7,1.67,3,0.239,1.33
Richarlison de Andrade,8,1.62,3,0.202,1.38
Lovro Majer,5,1.59,2,0.318,0.41
Gonzalo Ariel Montiel,3,1.59,2,0.53,0.41
Leandro Daniel Paredes,3,1.58,2,0.527,0.42
Salem Mohammed Al Dawsari,7,1.56,2,0.223,0.44
Aleksandar Mitrović,10,1.5,2,0.15,0.5
Marcus Rashford,11,1.38,3,0.125,1.62
Mehdi Taremi,6,1.38,2,0.23,0.62
Marcelo Brozović,5,1.37,1,0.274,-0.37
Takuma Asano,9,1.28,2,0.142,0.72
André Ayew Pelé,2,1.27,1,0.635,-0.27
Carlos Soler Barragán,5,1.27,1,0.254,-0.27
Philip Foden,6,1.25,1,0.208,-0.25
Rodrygo Silva de Goes,7,1.25,0,0.179,-1.25
Pedro Guilherme Abreu dos Santos,5,1.22,1,0.244,-0.22
Memphis Depay,10,1.18,1,0.118,-0.18
Aurélien Djani Tchouaméni,7,1.18,1,0.169,-0.18
Kai Havertz,5,1.16,2,0.232,0.84
Jamal Musiala,11,1.15,0,0.105,-1.15
Christian Pulisic,9,1.14,1,0.127,-0.14
Carlos Henrique Casimiro,10,1.14,2,0.114,0.86
Giorgian Daniel De Arrascaeta Benedetti,3,1.13,2,0.377,0.87
Luka Modrić,7,1.13,1,0.161,-0.13
İlkay Gündoğan,6,1.13,1,0.188,-0.13
Álvaro Borja Morata Martín,8,1.11,3,0.139,1.89
Hakim Ziyech,11,1.1,2,0.1,0.9
Andrej Kramarić,10,1.09,2,0.109,0.91
Daniel Olmo Carvajal,12,1.08,1,0.09,-0.08
Mislav Oršić,10,1.06,2,0.106,0.94
Enzo Fernandez,9,1.05,1,0.117,-0.05
Wout Weghorst,3,1.05,3,0.35,1.95
Youssef En-Nesyri,11,1.05,2,0.095,0.95
Bruno Miguel Borges Fernandes,8,1.03,2,0.129,0.97
Ferrán Torres García,4,1.01,2,0.252,0.99
Steven Berghuis,6,0.98,0,0.163,-0.98
Virgil van Dijk,4,0.98,0,0.245,-0.98
Sardar Azmoun,5,0.96,0,0.192,-0.96
Mario Pašalić,4,0.95,1,0.238,0.05
Alphonso Davies,4,0.93,1,0.232,0.07
Raphael Dias Belloli,8,0.92,0,0.115,-0.92
Achraf Hakimi Mouh,5,0.92,1,0.184,0.08
Nicolás Alejandro Tagliafico,3,0.91,0,0.303,-0.91
